Playlist Name: EDC Las Vegas Guest Mix,Song Name,Spotify ID,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
55,Bounce,6K1Mn0ZkmruilUIemjswnL,0.00671,https://api.spotify.com/v1/audio-analysis/6K1Mn0ZkmruilUIemjswnL,0.725,184760,0.89,6K1Mn0ZkmruilUIemjswnL,0.857,1,0.0692,-3.901,1,0.0455,140.048,4,https://api.spotify.com/v1/tracks/6K1Mn0ZkmruilUIemjswnL,audio_features,spotify:track:6K1Mn0ZkmruilUIemjswnL,0.436
56,I Can�۪t Hold On,2e6he0ydsChPv44oTVC7CO,0.00305,https://api.spotify.com/v1/audio-analysis/2e6he0ydsChPv44oTVC7CO,0.715,203067,0.758,2e6he0ydsChPv44oTVC7CO,0.107,4,0.345,-4.797,0,0.152,129.048,4,https://api.spotify.com/v1/tracks/2e6he0ydsChPv44oTVC7CO,audio_features,spotify:track:2e6he0ydsChPv44oTVC7CO,0.385
57,Never Squad Down,18DLRTB6fkqU97CiTWQggO,0.00106,https://api.spotify.com/v1/audio-analysis/18DLRTB6fkqU97CiTWQggO,0.747,161133,0.868,18DLRTB6fkqU97CiTWQggO,0.103,8,0.102,-2.333,0,0.0497,128.003,4,https://api.spotify.com/v1/tracks/18DLRTB6fkqU97CiTWQggO,audio_features,spotify:track:18DLRTB6fkqU97CiTWQggO,0.902
58,Stacks,2Mk2Zi0tpRtum6e5ZnhN0k,0.0262,https://api.spotify.com/v1/audio-analysis/2Mk2Zi0tpRtum6e5ZnhN0k,0.639,184615,0.963,2Mk2Zi0tpRtum6e5ZnhN0k,0.824,8,0.155,-2.32,0,0.0322,130.04,4,https://api.spotify.com/v1/tracks/2Mk2Zi0tpRtum6e5ZnhN0k,audio_features,spotify:track:2Mk2Zi0tpRtum6e5ZnhN0k,0.388
59,Spritzer,4pTlBKtciFal1hXOLb4P5W,0.00204,https://api.spotify.com/v1/audio-analysis/4pTlBKtciFal1hXOLb4P5W,0.9,217742,0.677,4pTlBKtciFal1hXOLb4P5W,0.0011,10,0.0475,-4.478,0,0.306,123.966,4,https://api.spotify.com/v1/tracks/4pTlBKtciFal1hXOLb4P5W,audio_features,spotify:track:4pTlBKtciFal1hXOLb4P5W,0.707
60,Flashy Lights,7bCVly6xfgbwmLDUHdAzg8,0.000998,https://api.spotify.com/v1/audio-analysis/7bCVly6xfgbwmLDUHdAzg8,0.809,267097,0.911,7bCVly6xfgbwmLDUHdAzg8,0.661,1,0.0517,-6.499,1,0.0561,124.001,4,https://api.spotify.com/v1/tracks/7bCVly6xfgbwmLDUHdAzg8,audio_features,spotify:track:7bCVly6xfgbwmLDUHdAzg8,0.881
61,Baja,7o9uwrCNd1GFVqpzpHroyZ,0.123,https://api.spotify.com/v1/audio-analysis/7o9uwrCNd1GFVqpzpHroyZ,0.791,199688,0.997,7o9uwrCNd1GFVqpzpHroyZ,0.181,9,0.191,-0.992,1,0.0565,127.994,4,https://api.spotify.com/v1/tracks/7o9uwrCNd1GFVqpzpHroyZ,audio_features,spotify:track:7o9uwrCNd1GFVqpzpHroyZ,0.965
62,158,7oxHuO9SjL68Ap36maD7zQ,0.00129,https://api.spotify.com/v1/audio-analysis/7oxHuO9SjL68Ap36maD7zQ,0.911,168889,0.895,7oxHuO9SjL68Ap36maD7zQ,0.801,2,0.476,-2.485,1,0.105,108.016,4,https://api.spotify.com/v1/tracks/7oxHuO9SjL68Ap36maD7zQ,audio_features,spotify:track:7oxHuO9SjL68Ap36maD7zQ,0.647
63,High,0QQHP616ogIfZmBdptvxbd,0.00479,https://api.spotify.com/v1/audio-analysis/0QQHP616ogIfZmBdptvxbd,0.739,270938,0.815,0QQHP616ogIfZmBdptvxbd,0.878,7,0.186,-6.966,1,0.0626,128.006,4,https://api.spotify.com/v1/tracks/0QQHP616ogIfZmBdptvxbd,audio_features,spotify:track:0QQHP616ogIfZmBdptvxbd,0.471
64,All Falls Down,5yFSF6qQA1rcLsQRnBsZgb,0.303,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,0.658,199111,0.678,5yFSF6qQA1rcLsQRnBsZgb,0,1,0.361,-4.407,1,0.058,97.976,4,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,audio_features,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,0.662
